Run #,tau_0_bas,tau_0_pris,tau_0_pyr,tau_0_twin,tau_1_bas,tau_1_pris,tau_1_pyr,theta_0_bas,theta_0_pris,theta_0_pyr,C45_R2,CND_R2,CRD_R2,CTD_R2,T45_R2,TRD_R2,TTD_R2,mean_R2,Objective Function
34,14.87472343,99.7238117,129.8310826,48.83268482,16.87939269,28.92115663,147.1793698,102.1689174,157.1119249,2845.09,0.196598011,-0.118317941,0.791847889,0.226711934,0.578345804,-1.637350617,0.348511404,0.055192355,0.736414987
35,14.82870222,89.02357519,127.6690318,48.83230335,2.882352941,23.48976883,153.2898451,102.1689174,254.4037537,2129.26,0.864871621,0.678186729,0.961798317,0.797319969,0.745341817,0.156245679,0.966473373,0.738605358,0.105848787
36,14.18281834,93.4804303,128.9306477,31.50301366,12.79143969,26.57584497,127.1396963,27.8736553,370.1054398,2659.82,0.258908468,0.569153671,0.739552213,0.583305061,0.856556978,0.442963504,0.715208736,0.595092662,0.224918242
37,13.61985199,83.84161135,120.7159533,25.91554131,8.732784009,2.302311742,119.5712215,94.07141222,162.3759823,2109.45,0.46926277,0.933580478,0.742766521,0.933034497,-1.501588682,-8.707257586,0.180309927,-0.992841725,1.773004723
38,15.65014115,98.84184024,114.2728313,35.02174411,16.76757458,1.578805219,150.4066529,16.88273442,118.3128099,2124.93,0.758775754,0.886446436,0.882726133,0.904190471,0.21558673,-1.655083703,0.784659967,0.396757398,0.407130201
39,17.36641489,117.3369955,124.5799954,26.54268711,16.12449836,14.60679026,132.1400778,180.5491722,367.2797742,2443.2,-1.700557565,-0.312175125,0.240596075,-0.24464818,-2.064589214,-12.30046022,-1.637265949,-2.574157168,3.349795773
40,11.2162356,99.6505684,129.4259556,30.98306249,14.44136721,4.444953079,140.4692149,168.4159609,142.6608682,2385.73,0.475148935,0.514223457,0.787756765,0.623930694,0.822287063,0.622601489,0.967405835,0.687622034,0.146030802
41,6.673029679,101.376669,124.2279698,48.78767071,6.598962387,15.36569772,123.1296254,19.63408865,455.0618753,2787.87,0.876644525,0.949061599,0.835410502,0.9621594,0.805073703,0.498657751,0.945622201,0.838947097,0.039112658
42,9.42200351,107.4937057,132.3859007,48.42259861,12.56023499,19.67133593,121.7242695,153.3922332,372.1565576,1597.3,0.499172972,0.73926472,0.915066833,0.729588986,0.550580588,-2.029476083,0.437037895,0.263033702,0.534711744
43,14.18400855,86.3245594,135.9826047,39.56893263,1.559090562,8.220462348,149.1454948,146.1992828,219.0829328,1387.03,0.649806748,0.936291085,0.838273386,0.964873955,-1.094579703,-6.508992147,0.279068531,-0.562179735,1.345177899
44,6.257053483,119.815671,111.8837263,44.60135805,12.50334936,10.37106889,151.3038834,118.2073701,354.4065003,1263.68,0.674994,0.923338171,0.963122673,0.91623009,0.487658148,-2.096168954,0.555556822,0.346390136,0.454896376
45,15.31529717,110.1853971,112.349279,47.70885786,13.62568093,13.36200504,150.7248035,115.5458915,277.8338293,1628.24,0.248997155,0.701172186,0.853498624,0.639178301,0.465196506,-2.551629789,0.346200158,0.100373306,0.692328744
46,16.27638666,108.4342718,119.994049,48.2745861,5.089417868,15.68917372,156.910811,186.7505913,184.780499,2528.4,0.315252228,0.202997736,0.799495443,0.395869021,0.769929776,-0.703890911,0.600622222,0.340039359,0.460946601
47,16.27817197,109.3815518,119.994049,48.22117952,6.046463722,15.68917372,158.4016175,91.76073854,185.4905013,1378.24,0.507021842,0.771917062,0.919864613,0.740830812,0.715886179,-0.952534204,0.579603752,0.468941437,0.339499475
48,17.56874952,119.7149615,137.7193866,47.34035248,8.475944152,7.869550622,141.4763104,173.9969482,402.4715038,2023.91,-0.365330307,-0.236935029,0.621689117,0.064294046,-0.048938001,-5.913201954,-0.056000408,-0.847774648,1.628744015
49,13.78608377,114.5134661,139.6562142,25.93728542,5.44586862,10.80074769,137.269398,86.5537499,362.4962234,2799.74,-0.334394377,-0.164846745,0.479835687,0.135049758,0.4291836,-1.444995242,0.375571087,-0.074942319,0.863909982
50,13.9884184,94.37705043,139.201648,30.41008621,5.448554208,5.699473564,138.2032502,181.4595254,156.5238422,1174.87,0.753042006,0.912747932,0.895615817,0.925317773,0.227383979,-1.519297399,0.808584727,0.429056405,0.37673215
51,13.87653925,94.84458686,110.5644312,32.08247501,7.448584726,5.699473564,136.6796368,28.38101778,160.2746624,1201.33,0.737011084,0.798929709,0.864620295,0.952466443,0.179278641,-2.303980126,0.762573753,0.284414257,0.514162314
52,15.37401389,96.04089418,116.9855802,36.31914244,16.92602426,21.57059586,119.6444648,83.62844282,266.7821775,1672.01,0.457470517,0.882983953,0.903704698,0.806484241,0.790822138,-0.276423803,0.591216554,0.593751186,0.2261023
53,7.625787747,97.27992676,117.4575418,39.04707408,9.117067216,9.333821622,119.6444648,83.40810254,262.7301442,1171.88,0.775056466,0.810969471,0.872334866,0.956764146,0.452661029,-0.94724192,0.836860796,0.536772122,0.277164955
54,10.13612573,111.9426261,127.395285,41.46448463,16.70238804,23.90661479,121.481651,58.02548257,457.8086519,1829.18,0.184121108,0.711218535,0.816791643,0.660031728,-0.521601461,-5.727109243,-0.213141907,-0.584241371,1.367056553
55,15.34029145,81.26039521,130.3488212,29.31258106,4.046189059,29.1291371,159.1973754,140.0877394,466.9956512,1887.22,0.2469757,0.487623706,0.676033495,0.538111338,0.907820397,0.221286873,0.94593957,0.574827297,0.242901191
56,16.96591135,103.6856641,122.3707942,44.49912261,5.59406424,18.79250782,152.9221027,24.43228809,457.7010758,2994.72,0.221040115,0.066662342,0.713122738,0.317675633,0.779763544,-0.451079314,0.608209499,0.322199222,0.477971863
57,8.318486305,95.40428779,113.6342412,35.05607691,8.168078126,15.6577554,139.7482261,120.5905241,288.7635615,2958.28,0.670828585,0.82192464,0.861163925,0.818743183,0.808718345,0.192851018,0.952828224,0.732436846,0.110541869
58,17.90855268,85.8142977,110.2325475,25.0904097,2.658716716,14.38907454,113.2051575,151.3134966,271.6087587,1410.62,0.751908637,0.896520456,0.89449585,0.975921141,0.428387652,-1.673444563,0.914044209,0.455404769,0.352094423
59,8.412909133,106.3633173,123.9853513,42.16754406,9.020874342,11.47823301,145.9174487,96.23132677,271.5370413,2563.13,0.699043033,0.606660901,0.891690866,0.71046526,0.980519159,0.920024754,0.934839032,0.820463286,0.049722303
60,14.86163119,106.3608759,118.5145342,47.23697261,9.205691615,11.47823301,150.6454566,96.32700084,287.8599222,2621.58,0.477078829,0.361753626,0.848865248,0.51242245,0.904320153,0.099174966,0.757559412,0.565882098,0.25090052
61,13.9005417,115.8434424,133.4685283,47.33997101,7.454932479,12.1548333,113.6156252,32.94148165,237.2489509,1329.84,0.683520376,0.890529007,0.965608563,0.863592698,0.580150192,-1.524425698,0.522776529,0.425964524,0.379633159
62,15.61443503,116.7321279,118.5918975,47.32280461,2.962432288,10.25911345,126.7093919,32.60517281,237.2561227,1388.68,0.708483067,0.946651309,0.968149729,0.902642611,0.673204088,-0.994728593,0.617127251,0.54593278,0.268863527
63,17.63302052,105.2457465,114.221561,40.13656825,3.541542687,10.7972076,141.3168536,123.6665904,447.2159915,1887.25,0.581548679,0.802650558,0.906529541,0.764790734,0.92717739,0.624190974,0.820999199,0.775412439,0.079041787
64,14.82632181,89.02540627,122.2783246,38.43099107,12.88250553,28.81362631,147.3746853,60.23468376,246.5578698,2245.75,0.402856203,0.538539666,0.813086555,0.593557377,0.933778003,0.243983435,0.816975235,0.620396639,0.202768556
65,17.87542535,95.27550164,129.7798123,44.96681163,2.882352941,23.48976883,153.2898451,104.7666133,156.7031357,2845.09,0.622488448,0.182384694,0.870661152,0.48262205,0.977506033,0.862942984,0.923171782,0.703111021,0.13351121
66,14.87472343,99.71404593,121.1041428,48.83268482,15.4333257,28.38261997,147.1793698,102.1689174,149.7608911,2844.88,0.318631487,0.178873347,0.838621143,0.383528789,0.671716765,-1.188742718,0.449473339,0.236014593,0.560746066
67,15.64002441,96.15686275,113.5600824,28.93530175,1.343755245,11.84065003,145.8579385,148.408484,441.0482948,1875.07,0.656739198,0.889848658,0.866833322,0.859856861,0.789494235,0.203353567,0.94686802,0.744713409,0.101254126
68,13.85888457,90.38406958,114.2728313,35.02059968,16.73266194,7.669535363,144.5998322,16.88273442,55.76806287,2695.19,0.600167614,0.909883987,0.808173102,0.916040383,-0.421117387,-4.996709694,0.558717471,-0.232120646,1.018644349
69,15.65014115,98.8424506,113.2291142,34.9984741,16.76781872,14.26782635,150.4066529,16.88273442,59.18181125,2124.9,0.694889034,0.839365106,0.876408691,0.843638474,0.8186079,0.052401909,0.978345697,0.72909383,0.113106663
70,10.8099794,99.4119173,129.4364843,30.98306249,14.49776455,19.67133593,148.2383459,175.3682765,377.6644541,2385.73,-0.277457463,0.048447967,0.523561291,0.198668474,0.712937644,-0.527970189,0.512822717,0.170144349,0.624481087
71,13.6876936,107.4869917,132.4380865,48.12962539,8.558709087,1.180987259,140.8476387,166.1893645,137.1529717,1594.09,0.892604321,0.775691477,0.986617654,0.840403326,0.768017719,0.901430302,0.91581976,0.868654937,0.024211556
72,6.627603571,103.7112993,124.2279698,48.78767071,6.598962387,15.36392767,128.6022736,19.62539101,486.1943999,2774.65,0.890658833,0.903843953,0.80388264,0.933246784,0.905932078,0.829756194,0.963804833,0.890160759,0.01534694
73,8.815991455,86.3245594,134.6445411,47.70885786,13.62592508,13.36200504,150.5424582,146.2079805,219.0542458,1237.95,0.814237994,0.922871808,0.907600639,0.964918356,-0.010956994,-2.239079282,0.764721342,0.303473409,0.495886267
74,7.649790188,110.2061494,112.453193,33.12352178,1.535652705,8.220019837,149.2072938,68.47714961,281.541619,1746.75,0.742537466,0.916710825,0.886619411,0.921218138,0.92162534,0.735941579,0.94774174,0.867484928,0.024742831
75,6.174532692,119.5599298,111.8823529,49.14892805,12.59710079,6.746013581,118.6923018,118.1986725,354.4853895,1263.68,0.900905569,0.941438144,0.989917416,0.99381386,0.79283979,-0.621771721,0.765180608,0.680331952,0.152005082
76,13.23125048,109.4468605,115.4744793,47.87289235,6.046463722,15.7033341,157.0344091,35.11009384,109.4126802,1469.4,0.794811664,0.885366063,0.97593542,0.889614674,0.942593223,0.490157513,0.846481413,0.832137138,0.042911854
77,16.27519646,108.1138323,120.1606775,47.09925994,5.190981918,15.91396963,149.0989548,91.73754482,182.9086748,2512.14,0.383007205,0.353675316,0.830318294,0.487622914,0.789570715,-0.551634352,0.620934488,0.416213511,0.388794935
78,6.703974975,117.8161288,130.005951,48.2745861,5.089662013,22.03302052,156.9123369,186.7186999,187.3264668,2502.86,0.394146382,0.192852725,0.801949183,0.45506266,0.322737166,-2.45886498,0.384058063,0.013134457,0.777543691
79,14.07966735,105.1523613,110.8299382,32.08247501,7.448584726,5.699031052,137.2663462,87.44670787,362.3814755,1236.18,0.782080411,0.929918308,0.954277133,0.959169395,0.951666456,0.906322514,0.952105235,0.919362779,0.006310756
80,13.67638666,114.511635,110.3442435,36.56252384,5.054016938,10.68392462,136.4454108,27.98382544,134.8364996,2825.28,0.497096161,0.753642004,0.851806484,0.728149025,0.78600662,-0.090208689,0.7108482,0.605334258,0.21590997
81,13.87653925,94.84458686,110.5644312,32.08934157,7.551125353,5.532646677,136.6651408,194.6335546,160.2746624,1205.23,0.829326534,0.895811782,0.92334222,0.980086616,0.363741429,-1.045597451,0.845608157,0.541759898,0.272641074
82,15.34485389,96.35339895,137.6049439,41.46562905,16.70214389,23.92829786,125.3551537,126.490425,292.5932708,1672.01,0.114890147,0.409599705,0.807650106,0.466467222,0.619084834,-1.600810785,0.339709228,0.165227208,0.629252221
83,10.37416648,111.9426261,116.9855802,35.53788052,1.925551232,21.64095521,148.518349,56.97306783,457.8086519,1835.03,0.3381109,0.769323886,0.799463089,0.721758406,0.359570492,-1.639548195,0.461928871,0.258658207,0.538922964
84,7.655344472,96.47241932,117.5422293,35.95292592,9.109498741,9.277180133,119.6444648,85.02876326,262.7301442,1078.1,0.736776621,0.759120671,0.853219629,0.941108055,0.419821285,-1.228675557,0.823156126,0.472075261,0.336590202
85,12.53418784,103.6783398,122.0041199,44.51743343,5.59406424,18.79250782,152.6253147,89.38338293,456.0157168,2994.72,0.417575009,0.225627203,0.778347876,0.446351826,0.882987181,0.137146185,0.740810367,0.518406521,0.293899454
86,8.32106508,104.5957122,113.7262531,27.45098039,8.175646601,15.6577554,139.8458839,178.8647288,288.7635615,2916.75,0.298781678,0.677472924,0.715987413,0.640622725,0.917691609,0.700104487,0.824490935,0.682164539,0.150498577
87,14.81858549,95.40428779,123.2437629,35.25444419,8.142931258,15.65819791,130.2632181,120.683299,285.2063783,2958.28,0.488966766,0.572279493,0.829346307,0.633368199,0.970815066,0.901223714,0.921368429,0.759623996,0.090272394
88,8.412909133,106.3517205,123.983978,32.79240101,16.72924392,11.47823301,124.0825513,97.44029908,271.5370413,2565.79,0.449929268,0.728285296,0.830766932,0.710601381,0.90505286,0.441516242,0.804743417,0.695842199,0.139356007
89,16.2888838,86.06332494,110.2325475,25.07820249,2.908964675,14.57315938,156.1738003,151.0902571,271.6159304,1417.49,0.618447661,0.887450536,0.848167055,0.910024899,0.370709339,-2.001804502,0.88430966,0.35961495,0.442316051
90,6.817441062,108.5490196,118.5145342,40.8003357,9.020874342,8.758113985,145.7442588,18.76722362,272.2327001,2561.67,0.787290844,0.861706461,0.72588121,0.884413472,0.887789315,0.680555349,0.958687168,0.826617688,0.046086341
91,15.66303502,83.26787213,131.4081025,47.32318608,7.03744564,10.76888685,126.7093919,31.93835355,119.8188754,1111.3,0.633866635,0.906088449,0.751880552,0.970744814,-0.940067363,-5.714152724,0.432423003,-0.422745233,1.207032084
92,16.23274586,116.7321279,118.5918975,46.4274815,2.962432288,6.240665293,126.707866,28.95506218,237.2561227,2578.09,0.64277171,0.729984768,0.930179016,0.748919203,0.802107139,-0.360300926,0.709749545,0.600487208,0.220166281
93,17.75779355,113.9732967,114.2192721,40.13656825,3.536415656,12.95445182,141.3145647,180.0737011,448.141146,1925.34,0.11617272,0.656426945,0.778221772,0.593913197,0.33216183,-2.558500153,0.307622625,0.032288419,0.758802904
94,16.49974823,95.27367056,130.0421149,36.58121614,11.06875715,25.30981918,141.7105364,104.7666133,167.6687266,2752.8,0.071315309,0.079306982,0.695925738,0.291959222,0.866220806,0.086109952,0.642724774,0.390508969,0.413033323
95,17.26524758,88.45899138,122.0956741,44.96986343,3.875288014,28.86451514,146.5934234,149.7653162,47.52056153,1999.65,0.840765984,0.887413762,0.909487268,0.933510765,0.018963447,-2.457810589,0.800114632,0.27606361,0.522182604
96,14.85151446,88.78675517,122.2783246,38.43099107,12.93011368,29.37428855,147.3746853,60.04913405,246.4933242,2004.26,0.430901477,0.61729822,0.835602427,0.642589083,0.92826991,0.205431729,0.810429813,0.638646094,0.187034121
97,15.89076066,99.28252079,111.223621,36.90699626,16.76806287,14.3532311,159.5353628,98.52460517,470.8325322,1882.7,0.135530015,0.55613892,0.754857777,0.534601251,0.858861397,-0.114913767,0.653489122,0.482652102,0.326790256
98,15.64061952,96.03051804,113.5875486,46.45532921,1.531013962,11.83356985,145.6267643,148.408484,433.697261,2000.17,0.92170982,0.920353388,0.980926263,0.925416548,0.584135641,0.15479414,0.893385737,0.768674505,0.083781527
99,14.04217594,90.38712139,110.5227741,35.02059968,16.39256886,7.562890059,145.5764096,14.93736172,253.9089036,1304.81,0.7013367,0.818991936,0.852840811,0.948740895,-0.224041878,-3.922129453,0.613682406,-0.030082655,0.819884952
100,7.436743725,103.7131304,124.2485695,49.6177615,12.53655299,1.135851072,128.5534447,21.15327687,485.2764172,2743.19,0.628930794,0.968757416,0.780290293,0.977736296,-0.112647903,-2.590517521,0.592172906,0.177817469,0.617039266
101,6.63494316,103.4573892,125.8100252,43.98603799,6.598962387,13.82354467,128.7251087,160.6779583,488.1092546,2774.65,0.845888659,0.807127055,0.953925555,0.854271136,0.931213404,0.937174531,0.95089889,0.897214176,0.012832742
102,6.673228046,103.7106889,111.1023117,48.67475395,7.400976577,12.19200427,127.0389868,19.29777981,278.8091859,2212.15,0.845033643,0.962244872,0.89496926,0.984509683,0.738916177,0.246571113,0.925482962,0.799675387,0.062698446
103,11.95039292,80.83863584,123.1316091,48.50766766,11.40299077,24.25398642,118.6923018,118.1290913,293.4395361,1255.8,0.872562796,0.947527113,0.925138206,0.991796795,0.46312749,-1.182718,0.933120875,0.564365039,0.252260679
104,6.186633097,119.5812924,111.8823529,49.15007248,9.394171054,7.045593957,118.7144274,118.1493858,170.8960098,1310.64,0.927750346,0.93338051,0.986034614,0.996494384,0.875344515,-0.070470156,0.835070132,0.783372049,0.073550712
105,7.225085832,110.2140841,112.453193,35.62829023,16.4643473,8.216037232,149.2111086,141.5692378,307.2092775,2253.25,0.41966828,0.674159689,0.814395289,0.66674005,0.896249099,0.208787866,0.800237935,0.64003403,0.185846526
106,16.27579156,111.9029526,122.343328,47.09925994,4.80889601,28.54502174,149.8069734,91.74044404,182.9086748,1487.86,0.160088816,0.652085982,0.836611938,0.614465322,-0.234852087,-4.623463715,-0.130206617,-0.389324337,1.173958752
107,16.28451972,108.1089494,119.4062715,47.09925994,5.191226062,15.90733196,149.2217899,23.26100557,182.9445335,2512.14,0.511003246,0.465440289,0.865964309,0.578779609,0.851154257,-0.057792432,0.707575386,0.560303524,0.255907011
108,6.722819867,117.8161288,130.005951,39.87602045,1.160158694,21.65024796,156.863508,186.5679408,49.2059205,2995.06,0.675991154,0.434753146,0.099373249,0.652983932,0.941445623,0.792416525,0.918395189,0.64505126,0.181564783
109,9.123460746,92.6521706,110.8281071,32.08934157,7.55039292,3.717021439,133.3325704,157.8686198,159.5072862,1207.19,0.603172554,0.726077772,0.789741576,0.916122586,-0.571330079,-4.960508309,0.435265694,-0.29449403,1.080212932
110,12.35307851,94.8439765,110.5644312,32.08934157,7.558449683,3.606836042,139.594873,194.6364538,160.2818341,1169.74,0.792727598,0.844956111,0.888032279,0.970209832,0.041571378,-2.244290746,0.718007404,0.287316265,0.511376892
111,14.07966735,104.5127031,124.1670863,38.3417258,7.448584726,10.80074769,132.7252613,25.10200656,362.4603647,1236.09,0.814053753,0.943433602,0.968894876,0.942442249,0.976567559,0.95158072,0.930376668,0.93247849,0.003489223
112,15.34485389,93.9516289,117.0180819,37.1965362,16.07420462,20.29616236,119.983978,81.83093004,262.9094377,1702.89,0.56853082,0.900795547,0.924529835,0.839153308,0.937644312,0.300434589,0.761703536,0.747541707,0.099144935
113,7.42246128,93.54268711,121.2039368,35.97085527,12.88885328,9.61747158,121.2077516,85.02006561,265.9717708,2953.15,0.693634557,0.941946252,0.870084614,0.924235322,0.333154001,-1.636997713,0.820524724,0.420940251,0.384351442
114,7.642648966,96.70679789,128.792401,32.79697871,9.109498741,9.282932784,119.6932937,101.2411688,263.1389334,2124.99,0.691377302,0.931708486,0.87022644,0.916138787,0.514848866,-0.88167082,0.859825741,0.557493543,0.258433831
115,16.03973449,100.4043641,123.2437629,35.44861524,8.295277333,15.65819791,127.2365911,178.8647288,288.5125505,2958.28,0.237952232,0.436982454,0.7768713,0.500196551,0.906560239,0.261621591,0.710575931,0.547251471,0.267671165
116,8.324238956,100.5331502,113.7262531,27.23620966,7.823834592,15.66085298,139.8458839,120.683299,285.6438544,2083.48,0.46863845,0.85274254,0.795947635,0.796970768,0.975682948,0.799345304,0.935926215,0.803607694,0.0601661
117,14.81977569,99.59502556,123.0148775,27.24002441,7.10702678,1.167269398,130.2624552,120.683299,285.4143587,2919.22,0.594023068,0.743426892,0.817796394,0.776525502,0.50070576,-0.419379186,0.896860677,0.558565587,0.257469427
